title,url,director,casts,rating_num,language,country,type,year,image
长津湖,https://movie.douban.com/subject/25845392/,"['陈凯歌', '徐克', '林超贤']","['吴京', '易烊千玺', '段奕宏', '朱亚文', '李晨']",7.4,"['汉语普通话', '英语']","['中国大陆', '中国香港']","['剧情', '历史', '战争']",['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2681329386.jpg']
兰心大剧院,https://movie.douban.com/subject/26954859/,['娄烨'],"['巩俐', '赵又廷', '小田切让', '帕斯卡尔·格雷戈里', '汤姆·拉斯齐哈']",7.2,"['汉语普通话', '英语', '日语', '法语']",['中国大陆'],['剧情'],['2019'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2681336608.jpg']
我和我的父辈,https://movie.douban.com/subject/35294995/,"['吴京', '章子怡', '徐峥', '沈腾']","['吴京', '章子怡', '徐峥', '沈腾', '吴磊']",6.5,['汉语普通话'],['中国大陆'],['剧情'],['2021'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2683055011.jpg']
摩加迪沙,https://movie.douban.com/subject/33457594/,['柳昇完'],"['金允石', '赵寅成', '许峻豪', '具教焕', '金素真']",8.1,"['韩语', '英语']",['韩国'],"['剧情', '动作']",['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2697816056.jpg']
沙丘,https://movie.douban.com/subject/3001114/,['丹尼斯·维伦纽瓦'],"['蒂莫西·柴勒梅德', '丽贝卡·弗格森', '奥斯卡·伊萨克', '戴夫·巴蒂斯塔', '赞达亚']",7.7,"['英语', '汉语普通话']",['美国'],"['剧情', '科幻', '冒险']",['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2687443734.jpg']
失控玩家,https://movie.douban.com/subject/30337388/,['肖恩·利维'],"['瑞安·雷诺兹', '朱迪·科默', '乔·基瑞', '里尔·莱尔·哈瓦瑞', '塔伊加·维迪提']",7.5,['英语'],"['美国', '加拿大']","['喜剧', '动作', '科幻']",['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2677520025.jpg']
肖申克的救赎,https://movie.douban.com/subject/1292052/,['弗兰克·德拉邦特'],"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗']",9.7,['英语'],['美国'],"['剧情', '犯罪']",['1994'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg']
我不是药神,https://movie.douban.com/subject/26752088/,['文牧野'],"['徐峥', '王传君', '周一围', '谭卓', '章宇']",9.0,"['汉语普通话', '英语', '上海话', '印地语']",['中国大陆'],"['剧情', '喜剧']",['2018'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg']
疯狂动物城,https://movie.douban.com/subject/25662329/,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']","['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯']",9.2,"['英语', '挪威语']",['美国'],"['喜剧', '动画', '冒险']",['2016'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg']
千与千寻,https://movie.douban.com/subject/1291561/,['宫崎骏'],"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男']",9.4,['日语'],['日本'],"['剧情', '动画', '奇幻']",['2001'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg']
怒火·重案,https://movie.douban.com/subject/30174085/,['陈木胜'],"['甄子丹', '谢霆锋', '秦岚', '谭耀文', '黄德斌']",7.2,"['粤语', '汉语普通话']","['中国香港', '中国大陆']","['动作', '犯罪']",['2021'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2673412189.jpg']
盛夏未来,https://movie.douban.com/subject/35158124/,['陈正道'],"['张子枫', '吴磊', '郝蕾', '祖峰', '柳小海']",7.1,['汉语普通话'],['中国大陆'],['剧情'],['2021'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2673420377.jpg']
泰坦尼克号,https://movie.douban.com/subject/1292722/,['詹姆斯·卡梅隆'],"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍']",9.4,"['英语', '意大利语', '德语', '俄语']","['美国', '墨西哥', '澳大利亚', '加拿大']","['剧情', '爱情', '灾难']",['1997'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg']
